ryear,Germination_Emergence,SeedlingSurvival_1stSeason,TP,run_sim,Prob
1981,TRUE,TRUE,Historical,,
1982,TRUE,TRUE,Historical,,
1983,TRUE,TRUE,Historical,,
1984,TRUE,TRUE,Historical,,
1985,TRUE,FALSE,Historical,,
1986,TRUE,TRUE,Historical,,
1987,TRUE,TRUE,Historical,,
1988,TRUE,TRUE,Historical,,
1989,TRUE,FALSE,Historical,,
1990,TRUE,TRUE,Historical,,
1991,TRUE,FALSE,Historical,,
1992,TRUE,TRUE,Historical,,
1993,TRUE,FALSE,Historical,,
1994,TRUE,FALSE,Historical,,
1995,TRUE,TRUE,Historical,,
1996,TRUE,TRUE,Historical,,
1997,TRUE,TRUE,Historical,,
1998,TRUE,TRUE,Historical,,
1999,TRUE,FALSE,Historical,,
2000,TRUE,FALSE,Historical,,
2001,TRUE,FALSE,Historical,,
2002,TRUE,TRUE,Historical,,
2003,TRUE,TRUE,Historical,,
2004,TRUE,TRUE,Historical,,
2005,TRUE,TRUE,Historical,,
2006,TRUE,TRUE,Historical,,
2007,TRUE,TRUE,Historical,,
2008,TRUE,FALSE,Historical,,
2009,TRUE,FALSE,Historical,,
2010,TRUE,TRUE,Historical,,
2011,TRUE,TRUE,Historical,,
2012,TRUE,TRUE,Historical,,
2013,TRUE,TRUE,Historical,,
2014,TRUE,FALSE,Historical,,
2015,TRUE,TRUE,Historical,,
2016,TRUE,TRUE,Historical,,
2017,TRUE,FALSE,Historical,,
2018,TRUE,FALSE,Historical,,
2019,TRUE,TRUE,Historical,,
2020,,,2020,1,0.5
2021,,,2021,1,0.7
2020,,,2020,2,0.633333333333333
2021,,,2021,2,0.933333333333333
2020,,,2020,3,0.633333333333333
2021,,,2021,3,0.8
