Date,avg_C.med,avg_C.10,avg_C.90,ppt.med,ppt.10,ppt.90,VWC.Deep.med,VWC.Deep.10,VWC.Deep.90,VWC.Intermediate.med,VWC.Intermediate.10,VWC.Intermediate.90,VWC.Shallow.med,VWC.Shallow.10,VWC.Shallow.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWC.Shallow_rollmean.med,VWC.Shallow_rollmean.10,VWC.Shallow_rollmean.90,VWC.Intermediate_rollmean.med,VWC.Intermediate_rollmean.10,VWC.Intermediate_rollmean.90,VWC.Deep_rollmean.med,VWC.Deep_rollmean.10,VWC.Deep_rollmean.90,SWP.Shallow.med,SWP.Shallow.10,SWP.Shallow.90,SWP.Shallow_rollmean.med,SWP.Shallow_rollmean.10,SWP.Shallow_rollmean.90,SWP.Intermediate.med,SWP.Intermediate.10,SWP.Intermediate.90,SWP.Intermediate_rollmean.med,SWP.Intermediate_rollmean.10,SWP.Intermediate_rollmean.90,SWP.Deep.med,SWP.Deep.10,SWP.Deep.90,SWP.Deep_rollmean.med,SWP.Deep_rollmean.10,SWP.Deep_rollmean.90
01-01,0.0769500000000001,-6.442395,2.878505,0,0,0.28552,0.112850926485324,0.105047117017445,0.133817165701163,0.117412990239975,0.102423530352799,0.145194035575387,0.125373408059056,0.111843888328856,0.214139909117782,2.3645,0.91662,3.7259,-0.492268333333334,-5.27940383333333,1.20786666666667,0.129252203227138,0.112416710055162,0.198183725798789,0.11735826391842,0.102331478651872,0.13949767339965,0.112850506026088,0.105039022657397,0.134242596376454,-1.27776359266814,-2.34175954774133,-0.0746585381006417,-1.08705614126374,-2.27914812828395,-0.112586065859858,-1.80961486604888,-3.73473419076521,-0.586532478376745,-1.81409602195091,-3.75259119428075,-0.725274783911996,-2.2330097288966,-3.26578411927608,-0.904242845450399,-2.23305386559798,-3.26711941280741,-0.889143899862454
01-02,-0.765025,-5.71035,3.181545,0,0,0.21871,0.112905057608564,0.105047162194295,0.134436999459778,0.117461554269456,0.102477314788272,0.145077484207141,0.12785583354697,0.111761271759262,0.212033315115248,2.3645,0.71889,3.82524,-0.565373333333334,-5.05678233333333,1.34512133333333,0.129850930082237,0.112298892960392,0.197924010427538,0.11747018172945,0.102493294283542,0.140095787156743,0.112989371232709,0.105039806795671,0.134425049503304,-1.15153678925812,-2.35095757228454,-0.0786785875488635,-1.06072854421557,-2.29186181645059,-0.113372017656684,-1.80564931065096,-3.72434735326252,-0.589036544759776,-1.8049459056501,-3.72126801479305,-0.70899846882617,-2.22733609299182,-3.26577666845585,-0.8823441954867,-2.21853303116514,-3.266990028336,-0.882760386446168
01-03,-1.27315,-6.94753,4.602375,0.0361,0,0.19653,0.112962151856083,0.105046897049112,0.134891506992571,0.117509034793327,0.102525921467743,0.144955467706003,0.128341394169611,0.111722672670899,0.208075652494851,2.34915,0.72226,3.97986,-0.580737500000001,-4.66943916666667,1.4253295,0.129828951872657,0.112180479549729,0.197848387982443,0.117692822668786,0.102720576604243,0.140687791764764,0.113188708335666,0.105040451056698,0.134606168909099,-1.12861209702841,-2.35526967288586,-0.0869493845377506,-1.06168149101522,-2.30472487364313,-0.113602091250857,-1.80178221138694,-3.71498996488856,-0.591671653223829,-1.78690591518246,-3.6777953504721,-0.693314132738048,-2.22137043898254,-3.26582039797914,-0.866686408890329,-2.19788445609454,-3.26688372846292,-0.876477337503939
01-04,0.0612999999999998,-6.24228,3.2264,0.0166,0,0.26303,0.113020734987625,0.105046429214606,0.134974973477075,0.117557865261876,0.102570619436209,0.144829272671361,0.128225085222545,0.11168156838516,0.204355910557616,2.42585,0.72226,4.25228,-0.549833333333334,-4.4559585,1.35723716666667,0.129806737425672,0.112061523902889,0.197954436188085,0.117836277136726,0.10299979030938,0.141273504051614,0.1133586493056,0.105041094905833,0.134785702305417,-1.13405359136075,-2.35987198102036,-0.0956811112783939,-1.06264571490356,-2.31773331826045,-0.113279606631901,-1.79781542706263,-3.70640970443198,-0.594411754584692,-1.77539568197222,-3.62521307294872,-0.678200677240337,-2.21526894362874,-3.26589755808335,-0.863846998437216,-2.18046108038741,-3.26677750065679,-0.870301691805104
01-05,-1.41015,-5.741235,3.902385,0,0,0.09989,0.113079207071823,0.105045820822842,0.135103741269788,0.117607461392207,0.102666007596177,0.144700550410978,0.128102441774166,0.111638215601241,0.200799543628234,2.35105,0.72226,4.24159,-0.580423333333334,-4.46725083333333,1.72925633333333,0.129787051976263,0.111941832960698,0.198240681924031,0.117920887058075,0.103302241315579,0.141852883942473,0.113446475311275,0.105041825798972,0.134963494144181,-1.13982525369974,-2.36473763209342,-0.105020501286121,-1.06350103689577,-2.33091034059788,-0.112414571790277,-1.79379706383749,-3.68817754626143,-0.597222282243286,-1.76864822120961,-3.5692595499744,-0.663634314651556,-2.20919886539752,-3.26599790358493,-0.8594881563517,-2.17152098475794,-3.26665691655223,-0.864236852500475
01-06,-1.70765,-6.2666,4.05338,0,0,0.38679,0.113213373105467,0.105045200712019,0.135216038976448,0.11770838440171,0.102705089997793,0.144571334856482,0.132057522467272,0.11155163892188,0.199194652412986,2.16895,0.72226,4.27121,-0.581249166666667,-4.52132333333333,1.83154333333333,0.129771863048412,0.111821467430898,0.198699949063704,0.118007597649259,0.103622593587818,0.142418115712361,0.113536456424869,0.105042696647,0.135057301873278,-0.970022568688533,-2.37449019722583,-0.1095878123407,-1.06416154674823,-2.34425151849303,-0.111043011060393,-1.78565302200221,-3.68073826874422,-0.600059479561755,-1.7617648348507,-3.51110990311016,-0.64978061367827,-2.19534543725758,-3.2661001857481,-0.855708158035217,-2.16240665810256,-3.26651324933705,-0.861057128458329
01-07,-1.79515,-6.00526,4.315835,0.0149,0,0.17093,0.113362264422729,0.10504458482899,0.13531349583678,0.117932682663844,0.102708574016694,0.144443030544069,0.131800667128541,0.111478126273001,0.198964472016611,2.1504,0.72226,4.46834,-0.493658333333334,-4.46698,1.80408466666667,0.130289432465598,0.111700678647535,0.19932679378503,0.118200396036803,0.103848508060192,0.144250686423908,0.113628437342158,0.105043735835325,0.135127498946599,-0.980093278802355,-2.38280869000322,-0.110262063902921,-1.04192643990854,-2.35773094123383,-0.109202953861318,-1.7677099693774,-3.68007595705914,-0.602892532831743,-1.74657360067882,-3.47077880089095,-0.607169469805386,-2.18009222360231,-3.26620177433974,-0.852443715033078,-2.15313672178189,-3.26634182019013,-0.858686808346406
01-08,-0.27645,-4.238825,4.6502,0,0,0.19363,0.113518735593527,0.105043938578124,0.135397816900838,0.11811181133836,0.1027694716384,0.144316734741887,0.130788046224391,0.111419133149526,0.198868340361259,2.12135,0.72226,4.52707,-0.360145,-4.54062066666667,1.778754,0.132312685625635,0.111693780501109,0.200116116807364,0.118613297594684,0.103843086084485,0.144610392239824,0.113722406292695,0.105044953237074,0.13519422121831,-1.02102601461028,-2.38950925068833,-0.110545114560322,-0.960139745716945,-2.35850351646985,-0.106937237042742,-1.75353407435204,-3.66852216767778,-0.605696775675202,-1.71456021963132,-3.47174028279628,-0.599200207188756,-2.16419802784985,-3.26630837607904,-0.849631209703184,-2.14371515986236,-3.266141005761,-0.856441006053508
01-09,-0.765475,-4.27685,4.30541,0,0,0.11776,0.113675408815099,0.105043266980859,0.135471879744257,0.118264648829422,0.10286126361234,0.144193293593912,0.130008596543905,0.111350449408499,0.198982887525267,2.0641,0.95901,4.53693,-0.182301666666667,-4.65227316666667,2.013786,0.133513710709686,0.112475234677537,0.200997645094355,0.119031626789643,0.103838280003021,0.1449156790349,0.113818379122498,0.105046353518179,0.135257245179974,-1.0539220537641,-2.39733872675559,-0.110207939517215,-0.915199140038543,-2.27286388135655,-0.104472558933749,-1.74154552895156,-3.65118831146863,-0.608452627342165,-1.68283469035895,-3.47259281251347,-0.592533970086959,-2.14842110634335,-3.26641916319278,-0.847169958117324,-2.13414321607862,-3.26591004292449,-0.854326093460537
01-10,0.4246,-5.40394,4.61003,0,0,0.16484,0.113822454777932,0.105042575310237,0.135536629014039,0.1183982690238,0.103308893007788,0.144072220017048,0.129356418920056,0.111270212958845,0.199024284642764,2.13415,0.72226,4.52622,-0.0435308333333336,-4.57479566666667,2.36567983333333,0.135194187400132,0.115023860722468,0.201963307473766,0.1194087546962,0.103834083853497,0.145820792705012,0.113916382606612,0.105047936556467,0.13531655116052,-1.0824181558405,-2.40652378002918,-0.110086385907664,-0.856442142568739,-2.01813539934599,-0.101849721933768,-1.73114412427758,-3.56804056664589,-0.611170110689807,-1.65483023339086,-3.47333735253604,-0.573281749758146,-2.13373785225461,-3.2665332662885,-0.845025154424105,-2.12442111657881,-3.26564895943285,-0.852341612548978
